Question,related_sentences
Where was the earliest attestation of Old Arabic thought to be?,"The last two share important isoglosses with later forms of Arabic, leading scholars to theorize that Safaitic and Hismaic are in fact early forms of Arabic and that they should be considered Old Arabic. Linguists generally believe that ""Old Arabic"" (a collection of related dialects that constitute the precursor of Arabic) first emerged around the 1st century CE. Previously, the earliest attestation of Old Arabic was thought to be a single 1st century CE inscription in Sabaic script at Qaryat Al-Faw, in southern present-day Saudi Arabia."
is Sībawayhi's al-Kitāb the name of the first comprehensive description of the Arabic language?,"The standardization of Arabic reached completion around the end of the 8th century. The first comprehensive description of the ʿarabiyya ""Arabic"", Sībawayhi's al-Kitāb, is based first of all upon a corpus of poetic texts, in addition to Qur'an usage and Bedouin informants whom he considered to be reliable speakers of the ʿarabiyya."
Who spoke Arabic in the 1st century BC?,"During the first Islamic century, the majority of Arabic poets and Arabic-writing persons spoke Arabic as their mother tongue. Their texts, although mainly preserved in far later manuscripts, contain traces of non-standardized Classical Arabic elements in morphology and syntax. Standardization Abu al-Aswad al-Du'ali (c. 603–689) is credited with standardizing Arabic grammar, or an-naḥw (النَّحو ""the way""), and pioneering a system of diacritics to differentiate consonants (نقط الإعجام nuqat l-i'jām ""pointing for non-Arabs"") and indicate vocalization (التشكيل at-tashkil)."
What is the new vocabulary from the spoken varieties used to denote?,"Colloquial varieties The spoken dialects have lost the case distinctions and make only limited use of the dual (it occurs only on nouns and its use is no longer required in all circumstances). They have lost the mood distinctions other than imperative, but many have since gained new moods through the use of prefixes (most often /bi-/ for indicative vs. unmarked subjunctive)."
When was the Arabization Bureau added to the ECSO?,"In response, a number of Arabic academies modeled after the Académie française were established with the aim of developing standardized additions to the Arabic lexicon to suit these transformations, first in Damascus (1919), then in Cairo (1932), Baghdad (1948), Rabat (1960), Amman (1977), Khartum (1993), and Tunis (1993). In 1997, a bureau of Arabization standardization was added to the Educational, Cultural, and Scientific Organization of the Arab League. These academies and organizations have worked toward the Arabization of the sciences, creating terms in Arabic to describe new concepts, toward the standardization of these new terms throughout the Arabic-speaking world, and toward the development of Arabic as a world language."
Did Massignon's attempt at Romanization succeed?,"There have been many instances of national movements to convert Arabic script into Latin script or to Romanize the language. The major head of this movement was Louis Massignon, a French Orientalist, who brought his concern before the Arabic Language Academy in Damascus in 1928. Massignon's attempt at Romanization failed as the academy and population viewed the proposal as an attempt from the Western world to take over their country."
Can two of the last three syllables be stressed?,"The basic rules for Modern Standard Arabic are:A final vowel, long or short, may not be stressed. Only one of the last three syllables may be stressed. Given this restriction, the last heavy syllable (containing a long vowel or ending in a consonant) is stressed, if it is not the final syllable."
When is the first possible syllabus always stressed?,"If the word occurs after another word ending in a consonant, there is a smooth transition from final consonant to initial vowel, e.g., الاجتماع al-ijtimāʻ 'meeting' /alid͡ʒtimaːʕ/. The basic rules for Modern Standard Arabic are:A final vowel, long or short, may not be stressed. Only one of the last three syllables may be stressed. Given this restriction, the last heavy syllable (containing a long vowel or ending in a consonant) is stressed, if it is not the final syllable. If no syllable is heavy or super heavy, the first possible syllable (i.e. third from end) is stressed."
Is the liturgical language of the religion of Islam a Semitic language?,"Siculo-Arabic (Sicilian Arabic), was spoken in Sicily and Malta between the end of the 9th century and the end of the 12th century and eventually evolved into the Maltese language. Maltese, spoken on the island of Malta, is the only fully separate standardized language to have originated from an Arabic dialect (the extinct Siculo-Arabic dialect), with independent literary norms. Maltese is therefore considered an exceptional descendant of Arabic that has no diglossic relationship with Standard Arabic or Classical Arabic. Maltese is also different from Arabic and other Semitic languages since its morphology has been deeply influenced by Romance languages, Italian and Sicilian."
What is Arabic named after?,"Variants of Arabic words such as كتاب kitāb (""book"") have spread to the languages of African groups who had no direct contact with Arab traders. The most important sources of borrowings into (pre-Islamic) Arabic are from the related (Semitic) languages Aramaic, which used to be the principal, international language of communication throughout the ancient Near and Middle East, and Ethiopic. In addition, many cultural, religious and political terms have entered Arabic from Iranian languages, notably Middle Persian, Parthian, and (Classical) Persian, and Hellenistic Greek (kīmiyāʼ has as origin the Greek khymia, meaning in that language the melting of metals; see Roger Dachez, Histoire de la Médecine de l'Antiquité au XXe siècle, Tallandier, 2008, p. 251), alembic (distiller) from ambix (cup), almanac (climate) from almenichiakon (calendar). (For the origin of the last three borrowed words, see Alfred-Louis de Prémare, Foundations of Islam, Seuil, L'Univers Historique, 2002.) Some Arabic borrowings from Semitic or Persian languages are, as presented in De Prémare's above-cited book:madīnah/medina (مدينة, city or city square), a word of Aramaic origin ""madenta"" (in which it means ""a state"")."
What religion helped Arabic to spread?,"Standardization Abu al-Aswad al-Du'ali (c. 603–689) is credited with standardizing Arabic grammar, or an-naḥw (النَّحو ""the way""), and pioneering a system of diacritics to differentiate consonants (نقط الإعجام nuqat l-i'jām ""pointing for non-Arabs"") and indicate vocalization (التشكيل at-tashkil). Al-Khalil ibn Ahmad al-Farahidi (718 – 786) compiled the first Arabic dictionary, Kitāb al-'Ayn (كتاب العين ""The Book of the Letter ع""), and is credited with establishing the rules of Arabic prosody. The first comprehensive description of the ʿarabiyya ""Arabic"", Sībawayhi's al-Kitāb, is based first of all upon a corpus of poetic texts, in addition to Qur'an usage and Bedouin informants whom he considered to be reliable speakers of the ʿarabiyya. Spread Arabic spread with the spread of Islam."
Who led the campaign for a lexical injection in Arabic?,"With the sole example of Medieval linguist Abu Hayyan al-Gharnati – who, while a scholar of the Arabic language, was not ethnically Arab – Medieval scholars of the Arabic language made no efforts at studying comparative linguistics, considering all other languages inferior. Yasir Suleiman wrote in 2011 that ""studying and knowing English or French in most of the Middle East and North Africa have become a badge of sophistication and modernity and ... feigning, or asserting, weakness or lack of facility in Arabic is sometimes paraded as a sign of status, class, and perversely, even education through a mélange of code-switching practises."""
"Based on what feature, most arguments for a single ANA language were based on?","However, most arguments for a single ANA language or language family were based on the shape of the definite article, a prefixed h-. It has been argued that the h- is an archaism and not a shared innovation, and thus unsuitable for language classification, rendering the hypothesis of an ANA language family untenable. Safaitic and Hismaic, previously considered ANA, should be considered Old Arabic due to the fact that they participate in the innovations common to all forms of Arabic."
What century was the overhaul of Grammar realized by Ibn Mada’ of Cordoba first proposed?,"Development Ibn Jinni of Mosul, a pioneer in phonology, wrote prolifically in the 10th century on Arabic morphology and phonology in works such as Kitāb Al-Munṣif, Kitāb Al-Muḥtasab, and Kitāb Al-Khaṣāʾiṣ. Ibn Mada' of Cordoba (1116–1196) realized the overhaul of Arabic grammar first proposed by Al-Jahiz 200 years prior. The Maghrebi lexicographer Ibn Manzur compiled Lisān al-ʿArab (لسان العرب, ""Tongue of Arabs""), a major reference dictionary of Arabic, in 1290."
Do a majority of Muslims speak Classical Arabic?,"Arabic and Islam Classical Arabic is the language of poetry and literature (including news); it is also mainly the language of the Quran. Classical Arabic is closely associated with the religion of Islam because the Quran was written in it. Most of the world's Muslims do not speak Classical Arabic as their native language, but many can read the Quranic script and recite the Quran."
"What does ""Old Arabic"" constitute?","Finally, on the northwestern frontier of Arabia, various languages known to scholars as Thamudic B, Thamudic D, Safaitic, and Hismaic are attested. The last two share important isoglosses with later forms of Arabic, leading scholars to theorize that Safaitic and Hismaic are in fact early forms of Arabic and that they should be considered Old Arabic. Linguists generally believe that ""Old Arabic"" (a collection of related dialects that constitute the precursor of Arabic) first emerged around the 1st century CE. Previously, the earliest attestation of Old Arabic was thought to be a single 1st century CE inscription in Sabaic script at Qaryat Al-Faw, in southern present-day Saudi Arabia."
Are there people that speak German in all the inhabited continents? ,"German ranks second on par with French among the best known foreign languages in the European Union (EU) after English, as well as in Russia, and Turkey. In terms of student numbers across all levels of education, German ranks third in the EU (after English and French) and in the United States (after Spanish and French). In 2020, approximately 15.4 million people were enrolled in learning German across all levels of education worldwide. The basis of Standard High German developed with the Luther Bible and the chancery language spoken by the Saxon court."
"Is ""th"" a dental fricative? ","German does not have any dental fricatives (as English th). The th sound, which the English language still has, disappeared on the continent in German with the consonant shifts between the 8th and 10th centuries."
In which region have the traditional regional dialects been replaced by new vernaculars based on Standard High German?,"The basis of Standard High German developed with the Luther Bible and the chancery language spoken by the Saxon court. However, there are places where the traditional regional dialects have been replaced by new vernaculars based on Standard High German; that is the case in large stretches of Northern Germany but also in major cities in other parts of the country. It is important to note, however, that the colloquial Standard High German differs from the formal written language, especially in grammar and syntax, in which it has been influenced by dialectal speech."
What is the area in central Europe where the majority of the population speaks German as a first language and has German as a (co-)official language called?,"With the inclusion or exclusion of certain varieties, it is estimated that approximately 90–95 million people speak German as a first language, 10–25 million speak it as a second language, and 75–100 million as a foreign language. German Sprachraum The area in central Europe where the majority of the population speaks German as a first language and has German as a (co-)official language is called the ""German Sprachraum""."
Does German's consonant system have more consonants than other languages?,"With around 22 to 26 phonemes, the German consonant system has an average number of consonants in comparison with other languages. One of the more noteworthy ones is the unusual affricate /pf/. Standard High German"
What was the most important text for German language standardization?,The greater ease of production and increased availability of written texts brought about increased standardization in the written form of German. One of the central events in the development of ENHG was the publication of Luther's translation of the Bible into High German (the New Testament was published in 1522; the Old Testament was published in parts and completed in 1534).
In how many countries or provinces is German an official or co-official language in?,"It is the most widely spoken and official or co-official language in Germany, Austria, Switzerland, Liechtenstein, and the Italian province of South Tyrol. It is also a co-official language of Luxembourg and Belgium, as well as a national language in Namibia. German is the second most widely spoken Germanic language after English which is also a West Germanic language."
Which branch of the Germanic languages is divided into a wide variety of dialects?,"It is also notable for its broad spectrum of dialects, with many varieties existing in Europe and other parts of the world. The Germanic languages are traditionally subdivided into three branches, North Germanic, East Germanic, and West Germanic. The first of these branches survives in modern Danish, Swedish, Norwegian, Faroese, and Icelandic, all of which are descended from Old Norse."
During which period were the Old High German dialects separated from Old Saxon? ,"The German dialect continuum is traditionally divided most broadly into High German and Low German, also called Low Saxon. However, historically, High German dialects and Low Saxon/Low German dialects do not belong to the same language. Nevertheless, in today's Germany, Low Saxon/Low German is often perceived as a dialectal variation of Standard German on a functional level even by many native speakers."
Where is German the third most taught foreign language?,"German is the second most widely spoken Germanic language after English which is also a West Germanic language. German is also widely taught as a foreign language, especially in continental Europe, where it is the third most taught foreign language (after English and French), and the United States."
Was Cameroon a colony of the German Empire in 1885?,"Africa  Cameroon Cameroon was a colony of the German Empire from 1884 to 1916. German has nowadays almost entirely yielded to its two successors, French and English."
Is German the most widely spoken west germanic language?,"German is a West Germanic language of the Indo-European language family, mainly spoken in Central Europe. It also contains close similarities in vocabulary to some languages in the North Germanic group, such as Danish, Norwegian, and Swedish. German is the second most widely spoken Germanic language after English which is also a West Germanic language."
How many people speak German as a second language?,"However, an exact, global number of native German speakers is complicated by the existence of several varieties whose status as separate ""languages"" or ""dialects"" is disputed for political and linguistic reasons, including quantitatively strong varieties like certain forms of Alemannic and Low German. With the inclusion or exclusion of certain varieties, it is estimated that approximately 90–95 million people speak German as a first language, 10–25 million speak it as a second language, and 75–100 million as a foreign language."
What is the Sachsenspiegel?,"Also noteworthy is the Sachsenspiegel, the first book of laws written in Middle Low German (c. 1220). The abundance and especially the secular character of the literature of the MHG period demonstrate the beginnings of a standardized written form of German, as well as the desire of poets and authors to be understood by individuals on supra-dialectal terms."
What is the most spoken language in the European Union?,German is the second most widely spoken Germanic language after English which is also a West Germanic language. German is one of the major languages of the world. It is the most spoken native language within the European Union.
"How many countries are a part of the ""German Sprachraum""? ","However, an exact, global number of native German speakers is complicated by the existence of several varieties whose status as separate ""languages"" or ""dialects"" is disputed for political and linguistic reasons, including quantitatively strong varieties like certain forms of Alemannic and Low German. German Sprachraum The area in central Europe where the majority of the population speaks German as a first language and has German as a (co-)official language is called the ""German Sprachraum"". German is the official language of the following countries:GermanyAustria17 cantons of SwitzerlandLiechtensteinGerman is a co-official language of the following countries:Belgium (as majority language only in the German-speaking Community, which represents 0.7% of the Belgian population)Luxembourg, along with French and LuxembourgishSwitzerland, co-official at the federal level with French, Italian, and Romansh, and at the local level in four cantons: Bern (with French), Fribourg (with French), Grisons (with Italian and Romansh) and Valais (with French)Italy, (as majority language only in the Autonomous Province of South Tyrol, which represents 0.6% of the Italian population) Outside the German Sprachraum Although expulsions and (forced) assimilation after the two World wars greatly diminished them, minority communities of mostly bilingual German native speakers exist in areas both adjacent to and detached from the Sprachraum."
"What inflected, pluricentric language is the second most commonly used scientific language?","German is the second most widely spoken Germanic language after English which is also a West Germanic language. It is the second most commonly used scientific language and among the most widely used languages on websites. The German-speaking countries are ranked fifth in terms of annual publication of new books, with one-tenth of all books (including e-books) in the world being published in German. German is an inflected language, with four cases for nouns, pronouns, and adjectives (nominative, accusative, genitive, dative); three genders (masculine, feminine, neuter); and two numbers (singular, plural)."
Was German the language of commerce in the Habsburg Empire prior to the mid-nineteenth century?,"Austrian Empire German was the language of commerce and government in the Habsburg Empire, which encompassed a large area of Central and Eastern Europe. Until the mid-nineteenth century, it was essentially the language of townspeople throughout most of the Empire."
Does Afrikaans belong to the same language branch as Gothic?,"Classification German is an Indo-European language and belongs to the West Germanic group of the Germanic languages. The Germanic languages are traditionally subdivided into three branches, North Germanic, East Germanic, and West Germanic. The West Germanic languages, however, have undergone extensive dialectal subdivision and are now represented in modern languages such as English, German, Dutch, Yiddish, Afrikaans, and others."
When was the end of the Old High German period?,"History  Old High German The history of the German language begins with the High German consonant shift during the Migration Period, which separated Old High German dialects from Old Saxon. This sound shift involved a drastic change in the pronunciation of both voiced and voiceless stop consonants (b, d, g, and p, t, k, respectively)."
When would one use a compund consisting of six words in German?,"It is the Austrian counterpart to the German Duden and contains a number of terms unique to Austrian German or more frequently used or differently pronounced there. Since the 39th edition in 2001 the orthography of the ÖWB has been adjusted to the German spelling reform of 1996. In German orthography, nouns are capitalised, which makes it easier for readers to determine the function of a word within a sentence. Present Before the German orthography reform of 1996, ß replaced ss after long vowels and diphthongs and before consonants, word-, or partial-word endings."
Were the Merseburg Charms originally written using a printing press?,"After the Abrogans, the first coherent works written in Old High German appear in the ninth century, chief among them being the Muspilli, the Merseburg Charms, and the Hildebrandslied, and other religious texts (the Georgslied, the Ludwigslied, the Evangelienbuch, and translated hymns and prayers). The Muspilli is a Christian poem written in a Bavarian dialect offering an account of the soul after the Last Judgment, and the Merseburg Charms are transcriptions of spells and charms from the pagan Germanic tradition. Of particular interest to scholars, however, has been the Hildebrandslied, a secular epic poem telling the tale of an estranged father and son unknowingly meeting each other in battle."
The Nibelungenlied is an important work from which period/epoch? ,"The German language is used in German literature and can be traced back to the Middle Ages, with the most notable authors of the period being Walther von der Vogelweide and Wolfram von Eschenbach. The Nibelungenlied, whose author remains unknown, is also an important work of the epoch."
What are German speakers called? ,"One who would talk German does not ask the Latin how he shall do it; he must ask the mother in the home, the children on the streets, the common man in the market-place and note carefully how they talk, then translate accordingly. They will then understand what is said to them because it is German."
What language is the most widely spoken language in the European continent? ,German is the second most widely spoken Germanic language after English which is also a West Germanic language. German is one of the major languages of the world. It is the most spoken native language within the European Union.
What is German word order?,"He ""came"" on Friday evening, after a hard day at work and the usual annoyances that had time and again been troubling him for years now at his workplace, with questionable joy, to a meal which, as he hoped, his wife had already put on the table, finally home ""to"". Word order German word order is generally with the V2 word order restriction and also with the SOV word order restriction for main clauses."
Is German an official language in Luxembourg?,"German is a West Germanic language of the Indo-European language family, mainly spoken in Central Europe. It is the most widely spoken and official or co-official language in Germany, Austria, Switzerland, Liechtenstein, and the Italian province of South Tyrol. It is also a co-official language of Luxembourg and Belgium, as well as a national language in Namibia. German is the second most widely spoken Germanic language after English which is also a West Germanic language."
Is Germany the most widely spoken language in Europe?,"It is the most widely spoken and official or co-official language in Germany, Austria, Switzerland, Liechtenstein, and the Italian province of South Tyrol. It is also a co-official language of Luxembourg and Belgium, as well as a national language in Namibia. German is the second most widely spoken Germanic language after English which is also a West Germanic language."
Where did South African Nataler Duetsch speakers come from?,"An estimated 12,000 people speak German or a German variety as a first language in South Africa, mostly originating from different waves of immigration during the 19th and 20th centuries. One of the largest communities consists of the speakers of ""Nataler Deutsch"", a variety of Low German concentrated in and around Wartburg."
Is the difference between Old High German and Old Saxon their respective vowel pronounciations?,"However, historically, High German dialects and Low Saxon/Low German dialects do not belong to the same language. Nevertheless, in today's Germany, Low Saxon/Low German is often perceived as a dialectal variation of Standard German on a functional level even by many native speakers."
Are there states in America where German is the most commonly spoken language at home after English?,"North America In the United States, German is the fifth most spoken language in terms of native and second language speakers after English, Spanish, French, and Chinese (with figures for Cantonese and Mandarin combined), with over 1 million total speakers. In the states of North Dakota and South Dakota, German is the most common language spoken at home after English."
What event marks the beginning of the history of the German language?,"History  Old High German The history of the German language begins with the High German consonant shift during the Migration Period, which separated Old High German dialects from Old Saxon."
What linguistic region was awarded the most Nobel Prizes in literature?,"The German language is used in German literature and can be traced back to the Middle Ages, with the most notable authors of the period being Walther von der Vogelweide and Wolfram von Eschenbach. Among the best-known poets and authors in German are Lessing, Goethe, Schiller, Kleist, Hoffmann, Brecht, Heine and Kafka. Fourteen German-speaking people have won the Nobel Prize in literature: Theodor Mommsen, Rudolf Christoph Eucken, Paul von Heyse, Gerhart Hauptmann, Carl Spitteler, Thomas Mann, Nelly Sachs, Hermann Hesse, Heinrich Böll, Elias Canetti, Günter Grass, Elfriede Jelinek, Herta Müller and Peter Handke, making it the second most awarded linguistic region (together with French) after English. See also Outline of German languageDenglischDeutsch (disambiguation)German family name etymologyGerman toponymyGermanism (linguistics)German exonymsList of German expressions in EnglishList of German words of French originList of pseudo-German words in EnglishList of terms used for GermansList of countries and territories where German is an official languageNames for the German languageDDR German Notes  References  Bibliography  External links  Texts on Wikisource:""German Language""."
The basis of Standard High German developed with which book?,"The basis of Standard High German developed with the Luther Bible and the chancery language spoken by the Saxon court. However, there are places where the traditional regional dialects have been replaced by new vernaculars based on Standard High German; that is the case in large stretches of Northern Germany but also in major cities in other parts of the country. It is important to note, however, that the colloquial Standard High German differs from the formal written language, especially in grammar and syntax, in which it has been influenced by dialectal speech."
Did English capitalize all nouns into the 1700s? ,"Orthography Written texts in German are easily recognisable as such by distinguishing features such as umlauts and certain orthographical features – German is the only major language that capitalizes all nouns, a relic of a widespread practice in Northern Europe in the early modern era (including English for a while, into the 1700s) – and the frequent occurrence of long compounds. In German orthography, nouns are capitalised, which makes it easier for readers to determine the function of a word within a sentence. This convention is almost unique to German today (shared perhaps only by the closely related Luxembourgish language and several insular dialects of the North Frisian language), but it was historically common in other languages such as Danish (which abolished the capitalization of nouns in 1948) and English. Present Before the German orthography reform of 1996, ß replaced ss after long vowels and diphthongs and before consonants, word-, or partial-word endings."
Are Alemannic dialects spoken in Stuttgart?,"In Baden-Württemberg, they are considered as dialects of German. The major cities in the Alemannic area are Stuttgart, Freiburg, Basel, Zürich, Lucerne and Bern. Bavarian Bavarian dialects are spoken in Austria (Vienna, Lower and Upper Austria, Styria, Carinthia, Salzburg, Burgenland, and in most parts of Tyrol), Bavaria (Upper and Lower Bavaria as well as Upper Palatinate), South Tyrol, southwesternmost Saxony (Southern Vogtländisch), and in the Swiss village of Samnaun."
Is German the most scientifically used language? ,"German is the second most widely spoken Germanic language after English which is also a West Germanic language. It is the second most commonly used scientific language and among the most widely used languages on websites. The German-speaking countries are ranked fifth in terms of annual publication of new books, with one-tenth of all books (including e-books) in the world being published in German."
"In Namibia, about how many people still speak German today?","The period of German colonialism in Namibia also led to the evolution of a Standard German-based pidgin language called ""Namibian Black German"", which became a second language for parts of the indigenous population. German remained a de facto official language of Namibia after the end of German colonial rule alongside English and Afrikaans, and had de jure co-official status from 1984 until its independence from South Africa in 1990. However, the Namibian government perceived Afrikaans and German as symbols of apartheid and colonialism, and decided English would be the sole official language upon independence, stating that it was a ""neutral"" language as there were virtually no English native speakers in Namibia at that time. An estimated 12,000 people speak German or a German variety as a first language in South Africa, mostly originating from different waves of immigration during the 19th and 20th centuries."
How many official languages at the federal level does Switzerland have? ,"German Standard GermanAustrian Standard GermanSwiss Standard GermanIn the German-speaking parts of Switzerland, mixtures of dialect and standard are very seldom used, and the use of Standard High German is largely restricted to the written language. About 11% of the Swiss residents speak Standard High German at home, but this is mainly due to German immigrants. Swiss Standard German is used in the Swiss education system, while Austrian German is officially used in the Austrian education system."
What event marks the end of the Early New High German period?,"History  Old High German The history of the German language begins with the High German consonant shift during the Migration Period, which separated Old High German dialects from Old Saxon. This sound shift involved a drastic change in the pronunciation of both voiced and voiceless stop consonants (b, d, g, and p, t, k, respectively)."
What type of German words are perceived as more scholarly? ,"These words often have different connotations from their Germanic counterparts and are usually perceived as more scholarly. Historie, historisch – ""history, historical"", (Geschichte, geschichtlich)Humanität, human – ""humaneness, humane"", (Menschlichkeit, menschlich)Millennium – ""millennium"", (Jahrtausend)Perzeption – ""perception"", (Wahrnehmung)Vokabular – ""vocabulary"", (Wortschatz)Diktionär – ""dictionary, wordbook"", (Wörterbuch)probieren – ""to try"", (versuchen)The size of the vocabulary of German is difficult to estimate."
Where was Unserdeutch spoken?,"As of the 2013 census, 36,642 people in New Zealand spoke German, mostly descendants of a small wave of 19th century German immigrants, making it the third most spoken European language after English and French and overall the ninth most spoken language. A German creole named Unserdeutsch was historically spoken in the former German colony of German New Guinea, modern day Papua New Guinea. It is at a high risk of extinction, with only about 100 speakers remaining, and a topic of interest among linguists seeking to revive interest in the language."
"The Nibelungenlied, whose author remains unknown, can be traced back to which epoch?","Literature The German language is used in German literature and can be traced back to the Middle Ages, with the most notable authors of the period being Walther von der Vogelweide and Wolfram von Eschenbach. The Nibelungenlied, whose author remains unknown, is also an important work of the epoch."
In which Central/Eastern European empire was German the language of commerce and government?,"Austrian Empire German was the language of commerce and government in the Habsburg Empire, which encompassed a large area of Central and Eastern Europe. Until the mid-nineteenth century, it was essentially the language of townspeople throughout most of the Empire."
Is German mainly spoken in West Europe?,"German ranks second on par with French among the best known foreign languages in the European Union (EU) after English, as well as in Russia, and Turkey. Within the EU, not counting countries where it is an official language, German as a foreign language is most popular in Eastern and Northern Europe, namely the Czech Republic, Croatia, Denmark, the Netherlands, Slovakia, Hungary, Slovenia, Sweden, Poland, and Bosnia and Herzegovina. German was once, and to some extent still is, a lingua franca in those parts of Europe."
Does German rank first as a foreign language in the EU in terms of student numbers across all levels of education?  ,"German ranks second on par with French among the best known foreign languages in the European Union (EU) after English, as well as in Russia, and Turkey. In terms of student numbers across all levels of education, German ranks third in the EU (after English and French) and in the United States (after Spanish and French)."
What total proportion of books are published in German?,"The German-speaking countries are ranked fifth in terms of annual publication of new books, with one-tenth of all books (including e-books) in the world being published in German. German is an inflected language, with four cases for nouns, pronouns, and adjectives (nominative, accusative, genitive, dative); three genders (masculine, feminine, neuter); and two numbers (singular, plural)."
The Nibelungenlied was originally written in what German variation?,"Literature The German language is used in German literature and can be traced back to the Middle Ages, with the most notable authors of the period being Walther von der Vogelweide and Wolfram von Eschenbach. The Nibelungenlied, whose author remains unknown, is also an important work of the epoch."
"Is it true that Danish, Norwegian, and Swedish contain few similarities with German?","It also contains close similarities in vocabulary to some languages in the North Germanic group, such as Danish, Norwegian, and Swedish. German is the second most widely spoken Germanic language after English which is also a West Germanic language."
How many Germanic languages are more widely spoken than German?,"It also contains close similarities in vocabulary to some languages in the North Germanic group, such as Danish, Norwegian, and Swedish. German is the second most widely spoken Germanic language after English which is also a West Germanic language."
Is German a national language in an African country?,"It is the most widely spoken and official or co-official language in Germany, Austria, Switzerland, Liechtenstein, and the Italian province of South Tyrol. It is also a co-official language of Luxembourg and Belgium, as well as a national language in Namibia. German is the second most widely spoken Germanic language after English which is also a West Germanic language."
What is the most spoken language on the Europe continent?,German is the second most widely spoken Germanic language after English which is also a West Germanic language.
What poem contains a mixed use of Old Saxon and Old High German dialects?,"The Muspilli is a Christian poem written in a Bavarian dialect offering an account of the soul after the Last Judgment, and the Merseburg Charms are transcriptions of spells and charms from the pagan Germanic tradition. Of particular interest to scholars, however, has been the Hildebrandslied, a secular epic poem telling the tale of an estranged father and son unknowingly meeting each other in battle. Linguistically this text is highly interesting due to the mixed use of Old Saxon and Old High German dialects in its composition."
Does German use a significant amount of loanwords from Greek?,"However, there is a significant amount of loanwords from other languages, in particular Latin, Greek, Italian, French, and most recently English. In the early 19th century, Joachim Heinrich Campe estimated that one fifth of the total German vocabulary was of French or Latin origin."
What is the most spoken language in the European Union? ,German is the second most widely spoken Germanic language after English which is also a West Germanic language. German is one of the major languages of the world. It is the most spoken native language within the European Union.
In what Italianian province is German the official language?,"German is a West Germanic language of the Indo-European language family, mainly spoken in Central Europe. It is the most widely spoken and official or co-official language in Germany, Austria, Switzerland, Liechtenstein, and the Italian province of South Tyrol. German is the second most widely spoken Germanic language after English which is also a West Germanic language."
Does German have the highest number of consonants in comparsion with other languages?,"Phonology  Consonants With around 22 to 26 phonemes, the German consonant system has an average number of consonants in comparison with other languages."
What can be an example of using German in official proceedings and literature?,"Middle High German While there is no complete agreement over the dates of the Middle High German (MHG) period, it is generally seen as lasting from 1050 to 1350. Whereas during the Old High German period the Germanic tribes extended only as far east as the Elbe and Saale rivers, the MHG period saw a number of these tribes expanding beyond this eastern boundary into Slavic territory (known as the Ostsiedlung). With the increasing wealth and geographic spread of the Germanic groups came greater use of German in the courts of nobles as the standard language of official proceedings and literature."
How many German speakers are there in Namibia?,"The period of German colonialism in Namibia also led to the evolution of a Standard German-based pidgin language called ""Namibian Black German"", which became a second language for parts of the indigenous population. German remained a de facto official language of Namibia after the end of German colonial rule alongside English and Afrikaans, and had de jure co-official status from 1984 until its independence from South Africa in 1990. However, the Namibian government perceived Afrikaans and German as symbols of apartheid and colonialism, and decided English would be the sole official language upon independence, stating that it was a ""neutral"" language as there were virtually no English native speakers in Namibia at that time. Today, Namibia is considered to be the only German-speaking country outside of the Sprachraum in Europe. German is used in a wide variety of spheres throughout the country, especially in business, tourism, and public signage, as well as in education, churches (most notably the German-speaking Evangelical Lutheran Church in Namibia (GELK)), other cultural spheres such as music, and media (such as German language radio programs by the Namibian Broadcasting Corporation). An estimated 12,000 people speak German or a German variety as a first language in South Africa, mostly originating from different waves of immigration during the 19th and 20th centuries."
What standard German-based pidgin language	 that is nearly extinct today	 evolved in Namibia? ,"The period of German colonialism in Namibia also led to the evolution of a Standard German-based pidgin language called ""Namibian Black German"", which became a second language for parts of the indigenous population. Although it is nearly extinct today, some older Namibians still have some knowledge of it. German remained a de facto official language of Namibia after the end of German colonial rule alongside English and Afrikaans, and had de jure co-official status from 1984 until its independence from South Africa in 1990."
For how many years was Namibia a colony of the German empire? ,"Africa  Cameroon Cameroon was a colony of the German Empire from 1884 to 1916. Namibia Namibia also was a colony of the German Empire, from 1884 to 1919."
What US states is German most commonly spoken at home?,"North America In the United States, German is the fifth most spoken language in terms of native and second language speakers after English, Spanish, French, and Chinese (with figures for Cantonese and Mandarin combined), with over 1 million total speakers. In the states of North Dakota and South Dakota, German is the most common language spoken at home after English."
Is German the most widely spoken Germanic Language?,"It also contains close similarities in vocabulary to some languages in the North Germanic group, such as Danish, Norwegian, and Swedish. German is the second most widely spoken Germanic language after English which is also a West Germanic language."
Which conference ended with a complete standardization of the Standard High German language in its written form?,"Standardization In 1901, the Second Orthographic Conference ended with a complete standardization of the Standard High German language in its written form, and the Duden Handbook was declared its standard definition. The Deutsche Bühnensprache (lit. 'German stage language') had established conventions for German pronunciation in theatres, three years earlier; however, this was an artificial standard that did not correspond to any traditional spoken dialect."
What was declared standard definition of German in 1901?,"Nevertheless, in today's Germany, Low Saxon/Low German is often perceived as a dialectal variation of Standard German on a functional level even by many native speakers. However, all German dialects belong to the dialect continuum of High German and Low Saxon. Low German or Low Saxon Middle Low German was the lingua franca of the Hanseatic League."
